,municipio,Código Município IBGE,População estimada (2020),UF1,data,indice_isolamento
0,AMERICANA,3501608,242018,SP,2021-05-14,0.37
1,AMERICANA,3501608,242018,SP,2021-05-13,0.37
2,AMERICANA,3501608,242018,SP,2021-05-12,0.36
3,AMERICANA,3501608,242018,SP,2021-05-11,0.38
4,AMERICANA,3501608,242018,SP,2021-05-10,0.37
5,AMERICANA,3501608,242018,SP,2021-05-09,0.42
6,AMERICANA,3501608,242018,SP,2021-05-08,0.38
7,AMERICANA,3501608,242018,SP,2021-05-07,0.35
8,AMERICANA,3501608,242018,SP,2021-05-06,0.35
9,AMERICANA,3501608,242018,SP,2021-05-05,0.37
10,AMERICANA,3501608,242018,SP,2021-05-04,0.37
11,AMERICANA,3501608,242018,SP,2021-05-03,0.37
12,AMERICANA,3501608,242018,SP,2021-05-02,0.44
13,AMERICANA,3501608,242018,SP,2021-05-01,0.42
14,AMERICANA,3501608,242018,SP,2021-04-30,0.37
15,AMERICANA,3501608,242018,SP,2021-04-29,0.36
16,AMERICANA,3501608,242018,SP,2021-04-28,0.36
17,AMERICANA,3501608,242018,SP,2021-04-27,0.38
18,AMERICANA,3501608,242018,SP,2021-04-26,0.39
19,AMERICANA,3501608,242018,SP,2021-04-25,0.45
20,AMERICANA,3501608,242018,SP,2021-04-24,0.42
21,AMERICANA,3501608,242018,SP,2021-04-23,0.38
22,AMERICANA,3501608,242018,SP,2021-04-22,0.37
23,AMERICANA,3501608,242018,SP,2021-04-21,0.44
24,AMERICANA,3501608,242018,SP,2021-04-20,0.39
25,AMERICANA,3501608,242018,SP,2021-04-19,0.38
26,AMERICANA,3501608,242018,SP,2021-04-18,0.48
27,AMERICANA,3501608,242018,SP,2021-04-17,0.42
28,AMERICANA,3501608,242018,SP,2021-04-16,0.39
29,AMERICANA,3501608,242018,SP,2021-04-15,0.38
30,AMERICANA,3501608,242018,SP,2021-04-14,0.38
31,AMERICANA,3501608,242018,SP,2021-04-13,0.4
32,AMERICANA,3501608,242018,SP,2021-04-12,0.39
33,AMERICANA,3501608,242018,SP,2021-04-11,0.48
34,AMERICANA,3501608,242018,SP,2021-04-10,0.42
35,AMERICANA,3501608,242018,SP,2021-04-09,0.38
36,AMERICANA,3501608,242018,SP,2021-04-08,0.39
37,AMERICANA,3501608,242018,SP,2021-04-07,0.4
38,AMERICANA,3501608,242018,SP,2021-04-06,0.4
39,AMERICANA,3501608,242018,SP,2021-04-05,0.4
40,AMERICANA,3501608,242018,SP,2021-04-04,0.49
41,AMERICANA,3501608,242018,SP,2021-04-03,0.44
42,AMERICANA,3501608,242018,SP,2021-04-02,0.45
43,AMERICANA,3501608,242018,SP,2021-04-01,0.38
44,AMERICANA,3501608,242018,SP,2021-03-31,0.39
45,AMERICANA,3501608,242018,SP,2021-03-30,0.4
46,AMERICANA,3501608,242018,SP,2021-03-29,0.41
47,AMERICANA,3501608,242018,SP,2021-03-28,0.47
48,AMERICANA,3501608,242018,SP,2021-03-27,0.44
49,AMERICANA,3501608,242018,SP,2021-03-26,0.39
50,AMERICANA,3501608,242018,SP,2021-03-25,0.38
51,AMERICANA,3501608,242018,SP,2021-03-24,0.38
52,AMERICANA,3501608,242018,SP,2021-03-23,0.41
53,AMERICANA,3501608,242018,SP,2021-03-22,0.39
54,AMERICANA,3501608,242018,SP,2021-03-21,0.5
55,AMERICANA,3501608,242018,SP,2021-03-20,0.44
56,AMERICANA,3501608,242018,SP,2021-03-19,0.39
57,AMERICANA,3501608,242018,SP,2021-03-18,0.4
58,AMERICANA,3501608,242018,SP,2021-03-17,0.38
59,AMERICANA,3501608,242018,SP,2021-03-16,0.41
60,AMERICANA,3501608,242018,SP,2021-03-15,0.4
61,AMERICANA,3501608,242018,SP,2021-03-14,0.48
